"Stratum" "Plot" "Individual" "Specie" "h" "d" "Volume (m3)"
"1" 1 1 1 "Cariocar braziliense" 7.5 22.6 0.270184396079617
"2" 1 1 2 "Pouteria ramiflora" 7 25.78 0.366601478731113
"3" 1 1 3 "Cariocar braziliense" 9 46.15 1.67075901013896
"4" 1 1 4 "Terminalia brasiliensis" 6 9.55 0.0299616324960626
"5" 1 1 5 "Qualya parvifora" 2 5.73 0.00608524324125622
"6" 1 1 6 "Magonia pubescens" 4 5.73 0.00749192746563122
"7" 1 1 7 "Qualya parvifora" 2 6.05 0.00696140211062447
"8" 1 1 8 "Stenocalyx dysentericus" 3 6.05 0.00786190826985254
"9" 1 1 9 "Solanum lycocarpum" 5 7 0.0131485885057623
"10" 1 1 10 "Stenocalyx dysentericus" 5.2 6.68 0.0118491624038899
"11" 1 1 11 "Cariocar braziliense" 5 16.87 0.116006746117843
"12" 1 1 12 "Stenocalyx dysentericus" 4 10.82 0.0361371779525584
"13" 1 1 13 "Stenocalyx dysentericus" 3.4 5.41 0.00618929122743414
"14" 1 1 14 "Stenocalyx dysentericus" 2.3 6.05 0.00725951167522416
"15" 1 1 15 "Stenocalyx dysentericus" 5 15.28 0.0907958756016552
"16" 1 1 16 "Andira cujabensis" 3 5.09 0.00512611028258182
"17" 1 1 17 "Qualya parvifora" 2.5 7 0.0106798096623067
"18" 1 1 18 "Qualya parvifora" 2.5 6.37 0.0084562722723921
"19" 1 1 19 "Stenocalyx dysentericus" 4 11.14 0.0388406348681677
"20" 1 1 20 "Stenocalyx dysentericus" 2 7 0.00998822637581031
"21" 1 1 21 "Qualea grandiflora" 2.5 6.37 0.0084562722723921
"22" 1 1 22 "Stenocalyx dysentericus" 3 5.41 0.0059611825798189
"23" 1 1 23 "Sclerolobium paniculatum" 6 16.52 0.116332676569322
"24" 1 1 24 "Astronium balansae" 6 13.05 0.0648982337520607
"25" 1 1 25 "Sclerolobium paniculatum" 5 7 0.0131485885057623
"26" 1 1 26 "Erioteca pubescens" 4 5.41 0.00649855491599507
"27" 1 1 27 "Qualya parvifora" 3 5.41 0.0059611825798189
"28" 1 1 28 "Sclerolobium paniculatum" 6.5 10.19 0.0360351126600665
"29" 1 1 29 "Stenocalyx dysentericus" 2.5 5.73 0.00650658456468778
"30" 1 1 30 "Qualya parvifora" 3 6.05 0.00786190826985254
"31" 1 1 31 "Qualya parvifora" 3.4 6.68 0.0104310076621277
"32" 1 1 32 "Cariocar braziliense" 9 25.78 0.395311960430291
"33" 1 1 33 "Qualya parvifora" 2 5.73 0.00608524324125622
"34" 1 1 34 "Stenocalyx dysentericus" 2 6.05 0.00696140211062447
"35" 1 1 35 "Curatella americana" 3 7.15 0.0118880912741671
"36" 1 1 36 "Cariocar braziliense" 7 26.1 0.377968692342344
"37" 1 1 37 "Cariocar braziliense" 7 15.6 0.105727621747079
"38" 1 1 38 "Vatairea macrocarpa" 3 8.59 0.0187223821777587
"39" 1 1 39 "Qualya parvifora" 3 7.96 0.0155052286819478
"40" 1 1 40 "Qualya parvifora" 2 5.41 0.0052783863113869
"41" 1 1 41 "Cariocar braziliense" 6 18.14 0.146644588949294
"42" 1 1 42 "Qualya parvifora" 3.5 7 0.011814222294107
"43" 1 1 43 "Qualya parvifora" 3 7 0.0112802734703826
"44" 1 1 44 "Curatella americana" 3 6.05 0.00786190826985254
"45" 1 1 45 "Qualya parvifora" 3.5 6.37 0.00935450008609572
"46" 1 1 46 "Pouteria ramiflora" 4 9.55 0.0265298149681613
"47" 1 1 47 "Pouteria ramiflora" 3 6.68 0.0100465689657345
"48" 1 1 48 "Stenocalyx dysentericus" 3 5.73 0.00687241210926185
"49" 1 1 49 "Cariocar braziliense" 3.5 6.68 0.0105221207061959
"50" 1 1 50 "Stenocalyx dysentericus" 4 7 0.0122971366223362
"51" 1 1 51 "Cariocar braziliense" 8.5 24.51 0.34291413760785
"52" 1 1 52 "Bowdichia virgilioides" 6 12.41 0.0573027706953987
"53" 1 1 53 "Astronium balansae" 2 5.41 0.0052783863113869
"54" 1 1 54 "Cariocar braziliense" 2.5 6.05 0.00744340854191122
"55" 1 2 55 "Cariocar braziliense" 12 45.84 1.79123579887672
"56" 1 2 56 "Cariocar braziliense" 13 43.93 1.65131646879099
"57" 1 2 57 "Sclerolobium paniculatum" 11 24.51 0.370492978517157
"58" 1 2 58 "Astronium balansae" 6.5 20.69 0.208013784753777
"59" 1 2 59 "Cariocar braziliense" 4.5 20.05 0.172345607785216
"60" 1 2 60 "Sclerolobium paniculatum" 9 19.42 0.196062948324785
"61" 1 2 61 "Astronium balansae" 7 18.46 0.160379905038056
"62" 1 2 62 "Plathymenia reticulata" 6.5 13.37 0.0705837248412963
"63" 1 2 63 "Qualya parvifora" 3 11.46 0.0382161238253821
"64" 1 2 64 "Machaerium opacum" 2 10.5 0.0272499580261646
